contribution_id,developer_id,repo_id,role,commits,prs_submitted,issues_created,reviews_given,is_maintainer
contrib0001,dev002,repo001,core_developer,45,12,3,28,1
contrib0002,dev001,repo001,peripheral_developer,23,8,5,12,0
contrib0003,dev005,repo001,peripheral_developer,18,6,2,8,0
contrib0004,dev008,repo001,newcomer,5,2,1,0,0
contrib0005,dev004,repo002,core_developer,67,18,5,42,1
contrib0006,dev003,repo002,peripheral_developer,34,9,4,15,0
contrib0007,dev006,repo002,peripheral_developer,21,5,3,9,0
contrib0008,dev009,repo002,newcomer,8,3,2,1,0
contrib0009,dev010,repo003,core_developer,52,14,4,35,1
contrib0010,dev007,repo003,peripheral_developer,28,7,6,14,0
contrib0011,dev011,repo003,peripheral_developer,19,5,2,7,0
contrib0012,dev001,repo003,newcomer,6,2,1,2,0
contrib0013,dev013,repo004,core_developer,43,11,3,29,1
contrib0014,dev012,repo004,peripheral_developer,25,6,5,11,0
contrib0015,dev016,repo004,peripheral_developer,17,4,2,6,0
contrib0016,dev018,repo004,newcomer,7,2,1,1,0
contrib0017,dev014,repo005,core_developer,58,15,4,38,1
contrib0018,dev015,repo005,peripheral_developer,31,8,3,16,0
contrib0019,dev020,repo005,peripheral_developer,22,6,2,10,0
contrib0020,dev023,repo005,newcomer,9,3,1,2,0
contrib0120,dev002,repo030,newcomer,7,2,1,1,0
